Symbol,Date,Close
TDOC,1/2/2018 16:00:00,36.2
TDOC,1/3/2018 16:00:00,36.85
TDOC,1/4/2018 16:00:00,37.2
TDOC,1/5/2018 16:00:00,37.5
TDOC,1/8/2018 16:00:00,36.05
TDOC,1/9/2018 16:00:00,34.5
TDOC,1/10/2018 16:00:00,33.1
TDOC,1/11/2018 16:00:00,33.2
TDOC,1/12/2018 16:00:00,32.65
TDOC,1/16/2018 16:00:00,32.75
TDOC,1/17/2018 16:00:00,32.45
TDOC,1/18/2018 16:00:00,31.3
TDOC,1/19/2018 16:00:00,32.65
TDOC,1/22/2018 16:00:00,32.75
TDOC,1/23/2018 16:00:00,34.55
TDOC,1/24/2018 16:00:00,34.9
TDOC,1/25/2018 16:00:00,35.3
TDOC,1/26/2018 16:00:00,36.5
TDOC,1/29/2018 16:00:00,36.1
TDOC,1/30/2018 16:00:00,36.3
TDOC,1/31/2018 16:00:00,37.4
TDOC,2/1/2018 16:00:00,37.05
TDOC,2/2/2018 16:00:00,35.3
TDOC,2/5/2018 16:00:00,33.95
TDOC,2/6/2018 16:00:00,34.7
TDOC,2/7/2018 16:00:00,34.1
TDOC,2/8/2018 16:00:00,33.05
TDOC,2/9/2018 16:00:00,32.95
TDOC,2/12/2018 16:00:00,33.8
TDOC,2/13/2018 16:00:00,34.15
TDOC,2/14/2018 16:00:00,35.75
TDOC,2/15/2018 16:00:00,36.9
TDOC,2/16/2018 16:00:00,37.15
TDOC,2/20/2018 16:00:00,37.75
TDOC,2/21/2018 16:00:00,38.65
TDOC,2/22/2018 16:00:00,38.8
TDOC,2/23/2018 16:00:00,37.95
TDOC,2/26/2018 16:00:00,38.55
TDOC,2/27/2018 16:00:00,37.3
TDOC,2/28/2018 16:00:00,40.1
TDOC,3/1/2018 16:00:00,38.55
TDOC,3/2/2018 16:00:00,41.95
TDOC,3/5/2018 16:00:00,41.95
TDOC,3/6/2018 16:00:00,43.45
TDOC,3/7/2018 16:00:00,44.05
TDOC,3/8/2018 16:00:00,43.05
TDOC,3/9/2018 16:00:00,43.15
TDOC,3/12/2018 16:00:00,43.25
TDOC,3/13/2018 16:00:00,42.8
TDOC,3/14/2018 16:00:00,42.95
TDOC,3/15/2018 16:00:00,42.5
TDOC,3/16/2018 16:00:00,41.25
TDOC,3/19/2018 16:00:00,41.55
TDOC,3/20/2018 16:00:00,41.8
TDOC,3/21/2018 16:00:00,43.1
TDOC,3/22/2018 16:00:00,42.7
TDOC,3/23/2018 16:00:00,42.3
TDOC,3/26/2018 16:00:00,43.6
TDOC,3/27/2018 16:00:00,41.15
TDOC,3/28/2018 16:00:00,39.15
TDOC,3/29/2018 16:00:00,40.3
TDOC,4/2/2018 16:00:00,38.5
TDOC,4/3/2018 16:00:00,40
TDOC,4/4/2018 16:00:00,40.75
TDOC,4/5/2018 16:00:00,41.4
TDOC,4/6/2018 16:00:00,39.15
TDOC,4/9/2018 16:00:00,38.7
TDOC,4/10/2018 16:00:00,39.7
TDOC,4/11/2018 16:00:00,40.1
TDOC,4/12/2018 16:00:00,41.45
TDOC,4/13/2018 16:00:00,41.15
TDOC,4/16/2018 16:00:00,41.65
TDOC,4/17/2018 16:00:00,42.5
TDOC,4/18/2018 16:00:00,42.65
TDOC,4/19/2018 16:00:00,43.05
TDOC,4/20/2018 16:00:00,42.75
TDOC,4/23/2018 16:00:00,42.55
TDOC,4/24/2018 16:00:00,41.15
TDOC,4/25/2018 16:00:00,40.65
TDOC,4/26/2018 16:00:00,42.1
TDOC,4/27/2018 16:00:00,43
TDOC,4/30/2018 16:00:00,43
TDOC,5/1/2018 16:00:00,42.7
TDOC,5/2/2018 16:00:00,45.45
TDOC,5/3/2018 16:00:00,41.7
TDOC,5/4/2018 16:00:00,42.2
TDOC,5/7/2018 16:00:00,44.35
TDOC,5/8/2018 16:00:00,45.3
TDOC,5/9/2018 16:00:00,46.65
TDOC,5/10/2018 16:00:00,46.65
TDOC,5/11/2018 16:00:00,47.85
TDOC,5/14/2018 16:00:00,48.5
TDOC,5/15/2018 16:00:00,49.05
TDOC,5/16/2018 16:00:00,49.45
TDOC,5/17/2018 16:00:00,48.7
TDOC,5/18/2018 16:00:00,49.35
TDOC,5/21/2018 16:00:00,49.9
TDOC,5/22/2018 16:00:00,49.6
TDOC,5/23/2018 16:00:00,49.85
TDOC,5/24/2018 16:00:00,50.6
TDOC,5/25/2018 16:00:00,50.7
TDOC,5/29/2018 16:00:00,50.8
TDOC,5/30/2018 16:00:00,51.2
TDOC,5/31/2018 16:00:00,50.9
TDOC,6/1/2018 16:00:00,50.8
TDOC,6/4/2018 16:00:00,51.9
TDOC,6/5/2018 16:00:00,53.8
TDOC,6/6/2018 16:00:00,54.3
TDOC,6/7/2018 16:00:00,53
TDOC,6/8/2018 16:00:00,53.6
TDOC,6/11/2018 16:00:00,54.7
TDOC,6/12/2018 16:00:00,56.7
TDOC,6/13/2018 16:00:00,59.05
TDOC,6/14/2018 16:00:00,60.6
TDOC,6/15/2018 16:00:00,60.85
TDOC,6/18/2018 16:00:00,62.15
TDOC,6/19/2018 16:00:00,60.45
TDOC,6/20/2018 16:00:00,62.35
TDOC,6/21/2018 16:00:00,61.45
TDOC,6/22/2018 16:00:00,61.6
TDOC,6/25/2018 16:00:00,59.55
TDOC,6/26/2018 16:00:00,59.65
TDOC,6/27/2018 16:00:00,55.7
TDOC,6/28/2018 16:00:00,57.7
TDOC,6/29/2018 16:00:00,58.05
TDOC,7/2/2018 16:00:00,59.4
TDOC,7/3/2018 13:00:00,59.85
TDOC,7/5/2018 16:00:00,62.8
TDOC,7/6/2018 16:00:00,63.35
TDOC,7/9/2018 16:00:00,65.15
TDOC,7/10/2018 16:00:00,62.2
TDOC,7/11/2018 16:00:00,62.7
TDOC,7/12/2018 16:00:00,65.45
TDOC,7/13/2018 16:00:00,66.1
TDOC,7/16/2018 16:00:00,67.05
TDOC,7/17/2018 16:00:00,68.3
TDOC,7/18/2018 16:00:00,69.15
TDOC,7/19/2018 16:00:00,70.4
TDOC,7/20/2018 16:00:00,68.55
TDOC,7/23/2018 16:00:00,69.55
TDOC,7/24/2018 16:00:00,63.7
TDOC,7/25/2018 16:00:00,66.9
TDOC,7/26/2018 16:00:00,65.9
TDOC,7/27/2018 16:00:00,63.85
TDOC,7/30/2018 16:00:00,61.05
TDOC,7/31/2018 16:00:00,59.85
TDOC,8/1/2018 16:00:00,61.85
TDOC,8/2/2018 16:00:00,65.25
TDOC,8/3/2018 16:00:00,62.5
TDOC,8/6/2018 16:00:00,66
TDOC,8/7/2018 16:00:00,66.7
TDOC,8/8/2018 16:00:00,69.35
TDOC,8/9/2018 16:00:00,69
TDOC,8/10/2018 16:00:00,71.85
TDOC,8/13/2018 16:00:00,69.5
TDOC,8/14/2018 16:00:00,71.7
TDOC,8/15/2018 16:00:00,70.75
TDOC,8/16/2018 16:00:00,72.6
TDOC,8/17/2018 16:00:00,73.95
TDOC,8/20/2018 16:00:00,75.3
TDOC,8/21/2018 16:00:00,74.85
TDOC,8/22/2018 16:00:00,75.7
TDOC,8/23/2018 16:00:00,75.8
TDOC,8/24/2018 16:00:00,75.75
TDOC,8/27/2018 16:00:00,74.05
TDOC,8/28/2018 16:00:00,74.5
TDOC,8/29/2018 16:00:00,74.05
TDOC,8/30/2018 16:00:00,75.95
TDOC,8/31/2018 16:00:00,77.55
TDOC,9/4/2018 16:00:00,79.15
TDOC,9/5/2018 16:00:00,77.3
TDOC,9/6/2018 16:00:00,76.45
TDOC,9/7/2018 16:00:00,77.05
TDOC,9/10/2018 16:00:00,77.15
TDOC,9/11/2018 16:00:00,78.15
TDOC,9/12/2018 16:00:00,76.95
TDOC,9/13/2018 16:00:00,77.75
TDOC,9/14/2018 16:00:00,77.3
TDOC,9/17/2018 16:00:00,74.6
TDOC,9/18/2018 16:00:00,76.95
TDOC,9/19/2018 16:00:00,75.45
TDOC,9/20/2018 16:00:00,75.4
TDOC,9/21/2018 16:00:00,78.1
TDOC,9/24/2018 16:00:00,78.5
TDOC,9/25/2018 16:00:00,80.75
TDOC,9/26/2018 16:00:00,78.55
TDOC,9/27/2018 16:00:00,82.5
TDOC,9/28/2018 16:00:00,86.35
TDOC,10/1/2018 16:00:00,83.72
TDOC,10/2/2018 16:00:00,80.37
