Symbol,Date,Close
NVDA,1/2/2018 16:00:00,199.35
NVDA,1/3/2018 16:00:00,212.47
NVDA,1/4/2018 16:00:00,213.59
NVDA,1/5/2018 16:00:00,215.4
NVDA,1/8/2018 16:00:00,222
NVDA,1/9/2018 16:00:00,221.94
NVDA,1/10/2018 16:00:00,223.68
NVDA,1/11/2018 16:00:00,224.08
NVDA,1/12/2018 16:00:00,222.98
NVDA,1/16/2018 16:00:00,220.11
NVDA,1/17/2018 16:00:00,224.72
NVDA,1/18/2018 16:00:00,224.44
NVDA,1/19/2018 16:00:00,230.11
NVDA,1/22/2018 16:00:00,233.69
NVDA,1/23/2018 16:00:00,238.91
NVDA,1/24/2018 16:00:00,235.8
NVDA,1/25/2018 16:00:00,236.35
NVDA,1/26/2018 16:00:00,243.33
NVDA,1/29/2018 16:00:00,246.85
NVDA,1/30/2018 16:00:00,242.72
NVDA,1/31/2018 16:00:00,245.8
NVDA,2/1/2018 16:00:00,240.5
NVDA,2/2/2018 16:00:00,233.52
NVDA,2/5/2018 16:00:00,213.7
NVDA,2/6/2018 16:00:00,225.58
NVDA,2/7/2018 16:00:00,228.8
NVDA,2/8/2018 16:00:00,217.52
NVDA,2/9/2018 16:00:00,232.08
NVDA,2/12/2018 16:00:00,228.03
NVDA,2/13/2018 16:00:00,232.63
NVDA,2/14/2018 16:00:00,241.42
NVDA,2/15/2018 16:00:00,246.5
NVDA,2/16/2018 16:00:00,243.84
NVDA,2/20/2018 16:00:00,249.08
NVDA,2/21/2018 16:00:00,241.51
NVDA,2/22/2018 16:00:00,242.15
NVDA,2/23/2018 16:00:00,245.93
NVDA,2/26/2018 16:00:00,246.58
NVDA,2/27/2018 16:00:00,246.06
NVDA,2/28/2018 16:00:00,242
NVDA,3/1/2018 16:00:00,232.21
NVDA,3/2/2018 16:00:00,236.54
NVDA,3/5/2018 16:00:00,235.65
NVDA,3/6/2018 16:00:00,242.16
NVDA,3/7/2018 16:00:00,241.84
NVDA,3/8/2018 16:00:00,241.18
NVDA,3/9/2018 16:00:00,245.33
NVDA,3/12/2018 16:00:00,249.76
NVDA,3/13/2018 16:00:00,247.71
NVDA,3/14/2018 16:00:00,248.74
NVDA,3/15/2018 16:00:00,249.34
NVDA,3/16/2018 16:00:00,250.48
NVDA,3/19/2018 16:00:00,241
NVDA,3/20/2018 16:00:00,249.58
NVDA,3/21/2018 16:00:00,248.56
NVDA,3/22/2018 16:00:00,241.85
NVDA,3/23/2018 16:00:00,232.97
NVDA,3/26/2018 16:00:00,244.48
NVDA,3/27/2018 16:00:00,225.52
NVDA,3/28/2018 16:00:00,221.35
NVDA,3/29/2018 16:00:00,231.59
NVDA,4/2/2018 16:00:00,221.05
NVDA,4/3/2018 16:00:00,225.35
NVDA,4/4/2018 16:00:00,226.24
NVDA,4/5/2018 16:00:00,221.38
NVDA,4/6/2018 16:00:00,214.25
NVDA,4/9/2018 16:00:00,215.41
NVDA,4/10/2018 16:00:00,227.91
NVDA,4/11/2018 16:00:00,226.24
NVDA,4/12/2018 16:00:00,234.6
NVDA,4/13/2018 16:00:00,231.5
NVDA,4/16/2018 16:00:00,231.49
NVDA,4/17/2018 16:00:00,237.54
NVDA,4/18/2018 16:00:00,236.37
NVDA,4/19/2018 16:00:00,229.04
NVDA,4/20/2018 16:00:00,228.71
NVDA,4/23/2018 16:00:00,223.88
NVDA,4/24/2018 16:00:00,221.2
NVDA,4/25/2018 16:00:00,216.66
NVDA,4/26/2018 16:00:00,225.22
NVDA,4/27/2018 16:00:00,226.33
NVDA,4/30/2018 16:00:00,224.9
NVDA,5/1/2018 16:00:00,227.14
NVDA,5/2/2018 16:00:00,226.31
NVDA,5/3/2018 16:00:00,232.99
NVDA,5/4/2018 16:00:00,239.06
NVDA,5/7/2018 16:00:00,248.68
NVDA,5/8/2018 16:00:00,250.4
NVDA,5/9/2018 16:00:00,255.78
NVDA,5/10/2018 16:00:00,260.13
NVDA,5/11/2018 16:00:00,254.53
NVDA,5/14/2018 16:00:00,255.36
NVDA,5/15/2018 16:00:00,245.56
NVDA,5/16/2018 16:00:00,246.01
NVDA,5/17/2018 16:00:00,247.71
NVDA,5/18/2018 16:00:00,245.94
NVDA,5/21/2018 16:00:00,244.24
NVDA,5/22/2018 16:00:00,242.7
NVDA,5/23/2018 16:00:00,247.54
NVDA,5/24/2018 16:00:00,247.69
NVDA,5/25/2018 16:00:00,249.28
NVDA,5/29/2018 16:00:00,248.59
NVDA,5/30/2018 16:00:00,252.99
NVDA,5/31/2018 16:00:00,252.19
NVDA,6/1/2018 16:00:00,257.62
NVDA,6/4/2018 16:00:00,264.85
NVDA,6/5/2018 16:00:00,265.07
NVDA,6/6/2018 16:00:00,265.15
NVDA,6/7/2018 16:00:00,262.9
NVDA,6/8/2018 16:00:00,262.28
NVDA,6/11/2018 16:00:00,260.62
NVDA,6/12/2018 16:00:00,262.58
NVDA,6/13/2018 16:00:00,262.4
NVDA,6/14/2018 16:00:00,266.91
NVDA,6/15/2018 16:00:00,265.26
NVDA,6/18/2018 16:00:00,265.09
NVDA,6/19/2018 16:00:00,260.17
NVDA,6/20/2018 16:00:00,262.31
NVDA,6/21/2018 16:00:00,257.11
NVDA,6/22/2018 16:00:00,250.95
NVDA,6/25/2018 16:00:00,239.12
NVDA,6/26/2018 16:00:00,241.99
NVDA,6/27/2018 16:00:00,235.72
NVDA,6/28/2018 16:00:00,240.86
NVDA,6/29/2018 16:00:00,236.9
NVDA,7/2/2018 16:00:00,242.24
NVDA,7/3/2018 13:00:00,236.84
