Symbol,Date,Close
PTON,4/9/2020 16:00:00,28.45
PTON,4/13/2020 16:00:00,31.99
PTON,4/14/2020 16:00:00,31.88
PTON,4/15/2020 16:00:00,35.61
PTON,4/16/2020 16:00:00,36.35
PTON,4/17/2020 16:00:00,33.49
PTON,4/20/2020 16:00:00,31.07
PTON,4/21/2020 16:00:00,31.39
PTON,4/22/2020 16:00:00,31.18
PTON,4/23/2020 16:00:00,29.89
PTON,4/24/2020 16:00:00,31.74
PTON,4/27/2020 16:00:00,31.78
PTON,4/28/2020 16:00:00,30
PTON,4/29/2020 16:00:00,31.89
PTON,4/30/2020 16:00:00,31.5
PTON,5/1/2020 16:00:00,32.05
PTON,5/4/2020 16:00:00,33.9
PTON,5/5/2020 16:00:00,36.22
PTON,5/6/2020 16:00:00,38.03
PTON,5/7/2020 16:00:00,44.12
PTON,5/8/2020 16:00:00,43
PTON,5/11/2020 16:00:00,42.8
PTON,5/12/2020 16:00:00,46.17
PTON,5/13/2020 16:00:00,45.17
PTON,5/14/2020 16:00:00,45.11
PTON,5/15/2020 16:00:00,48.42
PTON,5/18/2020 16:00:00,43.61
PTON,5/19/2020 16:00:00,44.8
PTON,5/20/2020 16:00:00,45.11
PTON,5/21/2020 16:00:00,45.3
PTON,5/22/2020 16:00:00,45.81
PTON,5/26/2020 16:00:00,41.7
PTON,5/27/2020 16:00:00,41.07
PTON,5/28/2020 16:00:00,42.61
PTON,5/29/2020 16:00:00,42.19
PTON,6/1/2020 16:00:00,45.85
PTON,6/2/2020 16:00:00,49.01
PTON,6/3/2020 16:00:00,47.83
PTON,6/4/2020 16:00:00,47.88
PTON,6/5/2020 16:00:00,45.9
PTON,6/8/2020 16:00:00,44.78
PTON,6/9/2020 16:00:00,47.64
PTON,6/10/2020 16:00:00,47.11
PTON,6/11/2020 16:00:00,45.98
PTON,6/12/2020 16:00:00,47.1
PTON,6/15/2020 16:00:00,49.94
PTON,6/16/2020 16:00:00,49.91
